frame_path,source_dataset,source_split,source_person_id,source_annotation_csv,source_image_reference,person,man,woman,short_hair,long_hair,bald_hair,black_hair,blonde_hair,brown_hair,gray_hair,straight_hair,wavy_hair,bangs_hair,receding_hairline,black_clothes,white_clothes,red_clothes,blue_clothes,green_clothes,yellow_clothes,brown_clothes,gray_clothes,orange_clothes,pink_clothes,purple_clothes,dress,glasses,hat,backpack,bag,source_image_name
data\external\market1501\Market-1501-v15.09.15\bounding_box_train\0002_c1s1_000451_03.jpg,market1501_attribute,train,2.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
data\external\market1501\Market-1501-v15.09.15\bounding_box_train\0002_c1s1_000551_01.jpg,market1501_attribute,train,2.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
data\external\market1501\Market-1501-v15.09.15\bounding_box_train\0002_c1s1_000776_01.jpg,market1501_attribute,train,2.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
data\external\market1501\Market-1501-v15.09.15\bounding_box_train\0002_c1s1_000801_01.jpg,market1501_attribute,train,2.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
data\external\market1501\Market-1501-v15.09.15\bounding_box_train\0002_c1s1_069056_02.jpg,market1501_attribute,train,2.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
data\external\market1501\Market-1501-v15.09.15\bounding_box_train\0002_c1s2_000841_01.jpg,market1501_attribute,train,2.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
data\external\market1501\Market-1501-v15.09.15\bounding_box_train\0002_c1s2_050821_02.jpg,market1501_attribute,train,2.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
data\external\market1501\Market-1501-v15.09.15\bounding_box_train\0002_c1s2_050846_02.jpg,market1501_attribute,train,2.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
data\external\market1501\Market-1501-v15.09.15\bounding_box_train\0002_c1s2_064446_01.jpg,market1501_attribute,train,2.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
data\external\market1501\Market-1501-v15.09.15\bounding_box_train\0002_c2s1_000301_01.jpg,market1501_attribute,train,2.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
